Cycle\Fluorescence,A1FAM,A2FAM,A3FAM,A4FAM,A5FAM,A6FAM,A7FAM,A8FAM,A9FAM,B1FAM,B2FAM,B3FAM,B4FAM,B5FAM,B6FAM,B7FAM,B8FAM,B9FAM,C1FAM,C2FAM,C3FAM,C4FAM,C5FAM,C6FAM,C7FAM,C8FAM,C9FAM,D1FAM,D2FAM,D3FAM,D4FAM,D5FAM,D6FAM,D7FAM,D8FAM,D9FAM,D10FAM,D11FAM,D12FAM,E1FAM,E2FAM,E3FAM,E4FAM,E5FAM,E6FAM,E7FAM,E8FAM,E9FAM,E10FAM,E11FAM,E12FAM,F1FAM,F2FAM,F3FAM,F4FAM,F5FAM,F6FAM,F7FAM,F8FAM,F9FAM,G1FAM,G2FAM,G3FAM,G4FAM,G5FAM,G6FAM,G7FAM,G8FAM,G9FAM,G10FAM,G11FAM,G12FAM,H1FAM,H2FAM,H3FAM,H4FAM,H5FAM,H6FAM,H7FAM,H8FAM,H9FAM,H10FAM,H11FAM,H12FAM
33,0.1865767,0.2057116,0.2320049,0.7680977,0.7546932,0.7370093,0.01811991,0.02720935,-0.001572404,1.153075,1.17291,1.149095,0.2885246,0.2692934,0.240001,0.0005640988,0.0006955563,-0.002340252,0.7275922,0.7720492,0.7653897,1.282312,1.244112,1.24695,-0.001196488,0.0007513888,-0.0001482527,0.2168775,0.2216292,0.1964329,0.6594265,0.6685494,0.6455637,-0.0008758927,0.01762851,-0.0006503779,0.2892126,0.2701254,0.2432954,1.275365,1.303958,1.309289,-0.0001064692,0.001248094,0.001100801,0.001077932,0.001180362,-3.565762E-06,0.000119954,0.0006290675,-0.0009854048,0.6517862,0.6792796,0.724867,0.001605292,0.002295752,-0.0004402388,-0.002299677,0.02006591,-0.001098859,0.2145217,0.1983791,0.2031481,0.00503825,0.002098573,0.001557745,0.003466367,-0.001329069,-0.0002530722,0.2470785,0.245516,0.2259426,1.209088,1.153259,1.266477,0.002731345,0.006594166,7.986702E-05,-0.00428744,-0.0008849656,-0.001174515,0.002823652,-0.002787393,0.002471335
34,0.2964039,0.3250146,0.3523764,0.9137046,0.8904669,0.8751551,0.01813383,0.0273727,-0.001273177,1.26008,1.284921,1.254406,0.4216056,0.398482,0.362279,0.001299389,0.002208373,-0.0008597915,0.8736481,0.9252741,0.9102873,1.397786,1.355002,1.359065,-0.0009311115,0.006861066,0.0001739464,0.333832,0.3449094,0.3153968,0.8126221,0.8155996,0.7988828,-0.001440512,0.01790032,8.387101E-05,0.4286312,0.3949868,0.3674159,1.384114,1.413391,1.419629,0.00385494,0.001246328,0.002382677,0.001968799,0.002504316,0.0009533376,0.003260816,0.007517271,0.003505436,0.7663905,0.8160138,0.8678108,0.002770488,0.004187191,0.002945128,0.0001578233,0.01905576,3.947627E-05,0.3274493,0.3126506,0.3150102,0.006770937,0.005361409,0.001929911,0.00781468,-0.0001932088,0.0003875613,0.3694319,0.368429,0.3404817,1.309301,1.250265,1.369717,0.006499807,0.008476014,0.003110986,-0.003483095,0.0004683036,0.0006967221,0.007025416,-0.0009467571,0.007363788
35,0.4203589,0.4594533,0.4839122,1.048801,1.016855,1.00161,0.01792373,0.02739002,-2.509179E-06,1.360454,1.38533,1.349256,0.5571735,0.5324368,0.491409,0.00503202,0.003558878,0.001097405,1.009817,1.066095,1.046382,1.503615,1.459859,1.464623,0.0005236912,0.0149548,0.003549431,0.4605903,0.4802862,0.4499006,0.9541472,0.9540111,0.9405913,0.001603796,0.01862992,0.0002755428,0.5696289,0.5193946,0.4950737,1.486177,1.515704,1.524924,0.006167882,0.006782012,0.005082917,0.001896706,0.002909913,0.001523231,0.008142954,0.01188597,0.009657655,0.8697438,0.9423378,0.9996225,0.002527248,0.005545755,0.007468617,0.00177854,0.02200665,0.006575682,0.4491579,0.4375472,0.4327676,0.01574201,0.009191113,0.004471096,0.01524232,0.001508191,0.0049025,0.4968916,0.4987242,0.4606072,1.405868,1.341035,1.469288,0.01048636,0.01910217,0.006030819,-0.001448569,0.006072063,0.001675142,0.01678509,-0.0002415213,0.01926933
36,0.5446436,0.5893475,0.6099624,1.176588,1.136762,1.119457,0.01808496,0.02805838,-0.001107939,1.450383,1.479774,1.439064,0.6886641,0.6608575,0.6153821,0.005402214,0.007223492,0.006017136,1.136334,1.198424,1.174589,1.605741,1.561747,1.565472,0.001389651,0.03430024,0.01098867,0.5834179,0.6132517,0.5831606,1.085735,1.08173,1.073311,0.0003772588,0.02195088,0.003810277,0.7074344,0.6405541,0.6185741,1.582964,1.613395,1.623414,0.01233407,0.01144711,0.009944196,0.002275306,0.007795928,0.0003067112,0.01519821,0.0271638,0.02619357,0.9686421,1.059941,1.122939,0.004079538,0.01110597,0.01878626,0.004298525,0.0235092,0.01490413,0.5665793,0.5603316,0.5499946,0.02868813,0.0171578,0.006678689,0.02911133,0.006301485,0.01384521,0.6210946,0.6230744,0.5776537,1.495837,1.426274,1.563787,0.02081795,0.03603097,0.01005047,0.0004318035,0.01090436,0.004976275,0.03726223,0.003210351,0.04029993
37,0.6645887,0.7109092,0.7281986,1.29703,1.248921,1.232349,0.01726079,0.03241145,0.001378713,1.533663,1.563649,1.519647,0.8118733,0.7792856,0.7308296,0.009915167,0.01613734,0.01730594,1.254134,1.322317,1.295574,1.702555,1.656081,1.659285,0.003403673,0.0653411,0.02790772,0.7009626,0.7373718,0.7119704,1.212074,1.204672,1.198738,0.001646445,0.02251053,0.008968495,0.8346524,0.754182,0.7355277,1.673594,1.705829,1.718336,0.02501213,0.02350932,0.01999241,0.005795978,0.01582302,0.003761572,0.03560958,0.05033427,0.05029585,1.06276,1.171429,1.239647,0.008574871,0.01912145,0.04259853,0.01945133,0.02466558,0.03659411,0.6767008,0.6769522,0.6589646,0.05502976,0.03059907,0.01223906,0.05308284,0.01403449,0.02770176,0.737505,0.7410472,0.6888084,1.582336,1.507137,1.652615,0.04030733,0.0642359,0.0202118,0.009172291,0.0235803,0.009580595,0.06843606,0.009661242,0.07368855
38,0.7759007,0.8246216,0.8386595,1.410726,1.354337,1.338339,0.01808411,0.03577928,0.008210414,1.609828,1.639993,1.589943,0.9260369,0.8926213,0.8404461,0.01726334,0.0338386,0.04007636,1.366989,1.439376,1.411135,1.793027,1.748442,1.750921,0.01059899,0.1127609,0.05860357,0.8102685,0.8546299,0.8314243,1.328735,1.320844,1.316317,0.003210965,0.02997418,0.02219941,0.9555586,0.8624539,0.8471609,1.757311,1.79019,1.806935,0.05016745,0.04719365,0.04093852,0.0122381,0.03184489,0.007253595,0.06762379,0.08774126,0.08876539,1.151573,1.277243,1.348772,0.01208214,0.03499203,0.07302981,0.04801593,0.03205913,0.07023832,0.7824055,0.7868475,0.7607064,0.09518015,0.05685696,0.02279085,0.09443336,0.03280295,0.05656614,0.8484866,0.8526195,0.7917216,1.662751,1.5834,1.736388,0.07191555,0.1080961,0.03706681,0.02873944,0.0424941,0.02347166,0.106062,0.02385681,0.1122569
39,0.8814823,0.9312215,0.9458518,1.517581,1.455439,1.439519,0.0179439,0.04961309,0.02220104,1.674884,1.706926,1.65528,1.035518,0.9976835,0.9444048,0.03181425,0.06343739,0.07722755,1.47252,1.548488,1.51909,1.879087,1.830712,1.836343,0.02580948,0.1621031,0.1037774,0.915179,0.9649186,0.9460963,1.440938,1.428597,1.430641,0.004436504,0.03997505,0.04668272,1.068254,0.964195,0.9522463,1.835819,1.870713,1.887561,0.08203385,0.08202487,0.07604687,0.02453009,0.06123489,0.01494285,0.112334,0.1318234,0.136266,1.237371,1.376203,1.455109,0.028471,0.05813472,0.1081268,0.08907776,0.04629056,0.1121096,0.8815958,0.8902545,0.8588657,0.1423392,0.09734179,0.04135696,0.1428429,0.06545866,0.09990574,0.9527246,0.9552059,0.8898105,1.736361,1.653039,1.814916,0.1130894,0.1585453,0.06468716,0.06312843,0.07403488,0.04880883,0.1476914,0.05168691,0.1540986
40,0.9812609,1.033592,1.043968,1.620115,1.547909,1.534294,0.01633496,0.06981827,0.05178435,1.73254,1.765469,1.711221,1.138827,1.099327,1.040751,0.05772575,0.1060538,0.1214311,1.573742,1.652617,1.622248,1.960701,1.910498,1.915744,0.05360792,0.2103485,0.1510781,1.011589,1.067176,1.051127,1.549075,1.532282,1.537253,0.008208999,0.05863545,0.08796983,1.17596,1.062097,1.051911,1.9085,1.941887,1.964772,0.1186666,0.1245871,0.1228997,0.04648334,0.1007036,0.03211996,0.1612405,0.1781298,0.1861668,1.319138,1.471538,1.551293,0.04863692,0.08854923,0.1464564,0.132619,0.06978495,0.1603345,0.9764642,0.9898491,0.9524466,0.1934323,0.1442001,0.07229374,0.1928112,0.1122334,0.1526734,1.05088,1.056158,0.9817435,1.806927,1.720229,1.888764,0.1593784,0.209807,0.1077412,0.1081587,0.1173716,0.08404778,0.1873708,0.08722801,0.1920765
41,1.071964,1.132487,1.135239,1.715527,1.635776,1.62335,0.01711128,0.1028159,0.09134017,1.784703,1.816446,1.760879,1.236853,1.194339,1.132277,0.0985527,0.1556557,0.1710079,1.66632,1.748173,1.719251,2.03389,1.981759,1.98961,0.08938208,0.2588063,0.1996539,1.102184,1.163112,1.153102,1.649353,1.63054,1.636349,0.01589453,0.08881323,0.1361545,1.27874,1.154514,1.147257,1.973307,2.008767,2.03451,0.1559163,0.1702756,0.1789686,0.08212236,0.1494033,0.05987915,0.214462,0.2260522,0.2346801,1.396182,1.562495,1.644682,0.08153874,0.1252069,0.1865648,0.1777072,0.1067799,0.2040989,1.064123,1.083041,1.039703,0.2456656,0.1964919,0.1145699,0.2456016,0.1618654,0.2039723,1.144224,1.148416,1.067045,1.870887,1.778349,1.955701,0.2039386,0.2610295,0.1526705,0.157226,0.1648229,0.1256725,0.2251955,0.1279757,0.2310078
42,1.155539,1.221034,1.219013,1.806031,1.71894,1.706583,0.01803194,0.1472927,0.1375045,1.826522,1.861173,1.804628,1.331194,1.285084,1.221335,0.1485735,0.2080264,0.2219169,1.754333,1.838272,1.807059,2.102038,2.052504,2.056963,0.1357156,0.3065912,0.2524889,1.187622,1.252109,1.244103,1.744225,1.722906,1.732382,0.0302448,0.1312224,0.1885575,1.375615,1.240927,1.236542,2.031589,2.071195,2.09886,0.1921119,0.2160941,0.2365519,0.1275645,0.1979816,0.09583544,0.2694693,0.2713281,0.283605,1.47006,1.645844,1.730594,0.1203368,0.1600136,0.2283723,0.2201523,0.1491317,0.2496844,1.148003,1.172674,1.122642,0.2982231,0.2486884,0.1608301,0.2923657,0.2163976,0.2553671,1.230299,1.235927,1.149706,1.930575,1.832531,2.01635,0.2456771,0.3058696,0.1986332,0.2077818,0.2157199,0.1708269,0.2600461,0.166911,0.2673483
43,1.23294,1.299395,1.294049,1.892084,1.794617,1.781408,0.02095827,0.1986931,0.1843642,1.865337,1.895087,1.839903,1.418412,1.368105,1.300852,0.2017631,0.2621274,0.2725013,1.833785,1.923725,1.88774,2.166859,2.114137,2.117944,0.1814522,0.3513036,0.2998548,1.26475,1.335829,1.332053,1.833058,1.807904,1.818679,0.05341948,0.1808552,0.2394678,1.462585,1.323787,1.318415,2.08709,2.12459,2.156639,0.2271333,0.2598571,0.2936592,0.1758972,0.2449018,0.1413308,0.3200816,0.3119801,0.3283955,1.539894,1.724349,1.81063,0.1637505,0.19539,0.2698653,0.2618505,0.1958701,0.2944135,1.22639,1.252962,1.200351,0.3468061,0.3031552,0.209972,0.3376961,0.2672158,0.3067902,1.310572,1.31883,1.222982,1.984883,1.881428,2.074384,0.2870687,0.3490722,0.2446034,0.2609978,0.2640743,0.2133628,0.291402,0.20623,0.3044764
44,1.3002,1.37289,1.361407,1.965739,1.863633,1.851261,0.02046466,0.2455943,0.2334145,1.894079,1.925177,1.869882,1.498142,1.445796,1.378229,0.2554067,0.310578,0.3160169,1.907752,1.999471,1.963498,2.22451,2.168875,2.175985,0.2292681,0.3953307,0.3453067,1.33276,1.410469,1.414072,1.914812,1.887016,1.899686,0.09041509,0.2292933,0.2916762,1.547564,1.397738,1.394523,2.134698,2.174233,2.206935,0.256511,0.2993156,0.3452134,0.2259384,0.290551,0.1878335,0.3674451,0.3465349,0.3737566,1.60392,1.796564,1.885806,0.2082515,0.2258699,0.3094741,0.2997645,0.2337089,0.3320029,1.297591,1.328027,1.271359,0.3902721,0.3558908,0.2596355,0.3795831,0.3176906,0.3530291,1.386313,1.394533,1.291697,2.030154,1.926449,2.123075,0.3251468,0.3873197,0.2869589,0.3109909,0.3143679,0.2562412,0.3232128,0.2465141,0.3376397
45,1.363035,1.433474,1.422608,2.040475,1.92833,1.9157,0.0192228,0.2891466,0.2759248,1.917102,1.950454,1.895349,1.573823,1.517082,1.445936,0.3066994,0.3594342,0.360613,1.976446,2.067885,2.031866,2.276407,2.221819,2.227022,0.2746779,0.4352228,0.3876877,1.39923,1.479982,1.486555,1.989945,1.960825,1.973768,0.1372921,0.2733161,0.3410378,1.621277,1.468354,1.464528,2.177455,2.219177,2.25475,0.2884772,0.3350136,0.3979224,0.2735265,0.3366639,0.2272993,0.412847,0.3791661,0.4135819,1.663392,1.864658,1.953248,0.2525833,0.252964,0.3447798,0.333762,0.263771,0.3748206,1.360534,1.397554,1.336418,0.4307441,0.407632,0.3001146,0.4166429,0.3660792,0.4010064,1.451457,1.465343,1.354809,2.074543,1.965348,2.17147,0.3604804,0.4240367,0.3252179,0.358739,0.3592751,0.2971981,0.3516997,0.2823366,0.3711236
