Cycle\Fluorescence,A1SYBRGreenI,A2SYBRGreenI,A3SYBRGreenI,A4SYBRGreenI,A5SYBRGreenI,A6SYBRGreenI,A7SYBRGreenI,A8SYBRGreenI,A9SYBRGreenI,A10SYBRGreenI,A11SYBRGreenI,A12SYBRGreenI,B1SYBRGreenI,B2SYBRGreenI,B3SYBRGreenI,B4SYBRGreenI,B5SYBRGreenI,B6SYBRGreenI,B7SYBRGreenI,B8SYBRGreenI,B9SYBRGreenI,B10SYBRGreenI,B11SYBRGreenI,B12SYBRGreenI,C1SYBRGreenI,C2SYBRGreenI,C3SYBRGreenI,C4SYBRGreenI,C5SYBRGreenI,C6SYBRGreenI,C7SYBRGreenI,C8SYBRGreenI,C9SYBRGreenI,C10SYBRGreenI,C11SYBRGreenI,C12SYBRGreenI,D1SYBRGreenI,D2SYBRGreenI,D3SYBRGreenI,D4SYBRGreenI,D5SYBRGreenI,D6SYBRGreenI,D7SYBRGreenI,D8SYBRGreenI,D9SYBRGreenI,D10SYBRGreenI,D11SYBRGreenI,D12SYBRGreenI,E1SYBRGreenI,E2SYBRGreenI,E3SYBRGreenI,E4SYBRGreenI,E5SYBRGreenI,E6SYBRGreenI,E7SYBRGreenI,E8SYBRGreenI,E9SYBRGreenI,E10SYBRGreenI,E11SYBRGreenI,E12SYBRGreenI,F1SYBRGreenI,F2SYBRGreenI,F3SYBRGreenI,F4SYBRGreenI,F5SYBRGreenI,F6SYBRGreenI,F7SYBRGreenI,F8SYBRGreenI,F9SYBRGreenI,F10SYBRGreenI,F11SYBRGreenI,F12SYBRGreenI,G1SYBRGreenI,G2SYBRGreenI,G3SYBRGreenI,G4SYBRGreenI,G5SYBRGreenI,G6SYBRGreenI,G7SYBRGreenI,G8SYBRGreenI,G9SYBRGreenI,G10SYBRGreenI,G11SYBRGreenI,G12SYBRGreenI,H1SYBRGreenI,H2SYBRGreenI,H3SYBRGreenI,H4SYBRGreenI,H5SYBRGreenI,H6SYBRGreenI,H7SYBRGreenI,H8SYBRGreenI,H9SYBRGreenI,H10SYBRGreenI,H11SYBRGreenI,H12SYBRGreenI
1,0.001521052,0.0009212349,0.002742032,-0.01064795,0.0004447121,-0.00216429,-0.01082564,-0.01268732,-0.00327047,0.00260099,-0.001900659,0.001661647,-0.01341326,-0.00529507,0.001933479,0.001285615,-0.002033725,-0.001140053,-0.009680014,0.0002400396,-0.003092576,-0.002235918,-0.001325793,-0.001627802,-0.003144214,0.004343115,-0.0005806442,-0.001365326,0.001271764,0.0001924336,0.001288534,-0.002018833,-0.0009005607,-0.002024698,-0.002555173,-0.0005110401,-0.004243719,-0.005570789,-0.004979759,-0.006143792,-0.009351511,-0.0002122436,-0.000263794,-0.0001149779,-0.001649437,-0.0007382863,0.0001914676,-0.002640624,-0.0002322753,-0.0006583919,-0.002273851,-0.003727146,-0.00110012,3.591279E-05,-0.003414663,-0.0008676713,-0.002072608,-0.001130543,-0.00199848,0.0003329738,0.001188002,-0.001277106,-0.002254124,-0.0003894418,-0.001172986,-0.001258143,-0.002237188,0.003385933,-0.0009489292,-0.00135439,-0.0008768699,-0.002132648,0.0001095101,0.001349465,-0.00134415,0.001823355,-0.004011972,-0.0007884875,-0.001321398,-0.001766448,-0.002564763,-0.001403171,-0.004019956,-0.001769298,-0.0008256971,-4.992903E-05,-0.001800407,0.001670549,-0.001210201,-0.002266488,0.002986547,0.001820347,-0.004490434,-0.001929555,-0.002106735,-0.0202861
2,5.269083E-05,-0.0003469091,0.0006902108,-0.005315392,0.0006664605,-0.0001630185,-0.003677479,-0.005229756,-0.001828914,0.005012695,0.0002118424,0.005292008,-0.008800039,-0.00722838,-0.0005676872,-0.0008850461,-0.003152479,0.001503495,-0.0021042,0.008474755,-0.0008212089,0.002594135,-0.001222161,0.001420821,0.003078155,0.01459242,-0.0007943035,-0.00111192,0.01177799,-0.002059442,0.003770045,-0.0007763356,0.002940392,0.001173598,-0.0004288788,-0.00228684,-0.002841313,-0.003230563,-0.003731168,-0.002069838,-0.001788644,-0.002867046,-0.0001781288,0.001136652,-0.001084785,-0.001274171,0.0004367384,-0.003433959,0.001271115,0.0003348136,-0.002690026,0.0001312371,-0.0002997255,0.0006284858,-0.001541801,0.005243859,-0.001152333,0.0004309474,-0.0002212385,0.002398058,0.0001258782,-0.0002997362,0.000635353,0.0001501628,0.001657297,0.001580134,-0.00461958,0.006399175,-0.001341798,-0.001192581,-0.0004758778,-0.001198045,0.001837918,0.001106067,0.002132511,0.00483124,-0.001936631,0.002595297,0.001678338,0.000642314,-0.0005906509,-0.0005814052,-0.001113499,-0.0006974547,0.0007642262,0.0008617347,0.0003000294,0.003700491,0.001635568,-0.0001715446,0.0002024342,0.006256978,-0.002474232,0.003319968,0.002771224,-0.01002086
3,0.0003407144,0.004421309,-0.0001322928,-0.003274341,-0.0001803534,-0.002622159,-0.003172938,-0.002884926,-0.001420596,0.005694897,0.0006461595,0.005246565,-0.006616016,-0.005971938,-0.0002587377,-0.0005322517,-0.004580016,-0.001650899,-0.000442185,0.01619168,-0.001619288,0.002066196,-7.118618E-05,0.0002481419,0.000510317,0.0144494,0.0005855124,0.0001119791,0.01362278,-0.001965166,0.005626218,-0.0004303033,0.005317577,0.002588551,0.002185852,7.108237E-05,0.0001017762,-0.001742093,-0.002374332,0.0008051085,0.002522202,-0.001426957,0.0001039482,0.001383385,-0.002259745,-0.0003783949,0.002660127,-0.002369567,-0.000695025,0.002386795,-0.002581523,-0.003148659,0.001413825,0.0003969229,-0.001709384,0.005166155,-0.00122319,0.00132678,0.0009459371,0.002830164,-0.001505159,-0.002173602,-0.001999366,-0.001789667,0.003702402,-0.0001949936,-0.002001817,0.005797578,-0.0009445628,0.0002464054,-0.0004076412,-0.000246506,-0.0002347147,0.001036587,-0.0002224243,0.008525585,-0.0004595082,0.0008333651,-0.0003965788,0.0001156446,-0.00188196,0.0010475,-0.002188754,-0.0004020788,-0.0003629692,-0.001629843,0.0006778862,0.004519683,-0.0003055508,-0.0010074,-0.00122605,0.005446616,-0.0005891897,0.001332218,0.005340052,-0.006258639
4,-0.005664404,0.008116579,-0.001342232,-0.00291452,-0.004591812,-0.001044307,-0.0006995974,0.002281087,-0.002620146,0.007553104,0.002375759,0.007019657,-0.002631653,-0.003239411,-0.002972804,-0.001392635,-0.003484392,0.0004439183,0.0006766406,0.02060482,-0.001868728,0.00241067,0.001864442,0.0008779923,0.009221191,0.02081608,0.00101615,-0.002135407,0.02010757,-0.002291384,0.004338209,-0.001367547,0.006307448,0.002307185,0.001877298,-0.002228847,0.001975082,0.0009183428,-0.001532372,0.002374751,0.0003155681,-0.002059227,-0.002236906,0.002885338,-0.002141646,-0.002001415,0.003439831,-0.001350504,0.001105083,0.0008767573,-0.00160337,-0.0004816264,0.001805203,0.0008702049,-0.001489004,0.008049286,-0.0004833879,5.95691E-05,0.0006073513,0.00470319,-0.002175126,5.717134E-05,-0.0002425583,0.001706365,0.007592263,0.002523522,9.913332E-06,0.007576766,-0.0005444649,-0.002925701,0.001005629,0.001060565,-0.0007348243,-0.0002189694,-0.001664725,0.00996861,-0.0003407007,0.002884635,-0.0002008791,-0.0005600097,-0.001539068,-0.0014387,-0.003239902,-6.622358E-05,-0.001080572,-0.0008847439,0.0001081961,0.004998677,0.0007245012,-0.002372657,-0.00046723,0.009029596,-0.002276264,0.003017212,0.007126365,-0.002332122
5,0.002593747,0.01017505,0.0005310007,0.001130056,0.002066624,-0.001580574,0.001167073,0.001379985,-0.001325318,0.01085835,0.0007881949,0.008117409,0.0007211973,0.001070419,0.0004440068,-0.0007641694,-0.001116731,0.002284166,-5.137726E-05,0.02609975,-0.003110106,0.0008475347,0.0006338709,0.002410669,0.005442576,0.02128672,0.002020166,-0.001356419,0.02415281,0.0001431011,0.007445237,-0.001254039,0.00843323,0.002859845,0.002718305,-0.001394463,-8.978389E-05,0.001963093,-0.001163983,0.00201031,0.0007974508,0.0003147441,0.0002281689,0.002494519,-0.001159654,-0.0009756489,0.005708461,-0.0005935922,-0.00233604,0.0002649033,-0.002737567,-0.001467226,0.00248905,0.003601561,0.0002051914,0.008549555,0.0001052869,0.0007596895,-0.0007084787,0.006615723,-0.001327993,-0.0008889211,-0.0006630282,0.0002689698,0.006696173,0.005547668,-0.002832756,0.009882214,7.606065E-05,-0.001011648,0.002352414,0.003496216,0.0004160973,-0.001009687,0.0008475774,0.01277681,9.597909E-05,0.002887797,0.0003769459,0.0009256943,8.033446E-05,0.003308643,-0.001599012,-0.0004847565,-1.205204E-05,0.0004840213,-0.0007182347,0.007375819,0.002757186,0.001459589,-0.0006980945,0.009655551,-0.0010377,0.004538449,0.008267208,0.001880501
6,-0.004175256,0.01994689,0.0003443166,0.004125968,0.004279195,0.0005538999,0.004818239,0.002805396,0.0007413687,0.01000477,0.004129387,0.008124956,0.001494933,-0.002580773,-0.001571654,-0.002110048,0.001521576,0.0031152,0.003787109,0.0306869,0.0003792373,0.001403085,0.0007501954,0.002670164,0.01052243,0.02606368,0.002107796,-0.0006409898,0.02346501,-0.0007596257,0.00927903,-0.0006118663,0.01117314,0.004234427,0.002951922,-0.001126084,0.001951561,0.001441563,0.0006379386,0.001579207,0.0009469645,0.0003679755,0.001175582,0.004829533,-9.877468E-07,-0.0002868476,0.007728211,-0.0008951091,-0.0006708405,0.001036356,7.053947E-05,0.0001796516,0.003512638,0.003573722,-0.0009651114,0.006966709,-0.0006896597,0.00479835,0.001274689,0.007453959,-0.0001015836,0.0008900933,-0.0009376291,-0.0004605888,0.009512415,0.007367176,-0.001369524,0.01136337,-0.001900594,-0.0007694875,0.004381184,0.005123785,-0.0009714609,-0.001874682,-0.0008333864,0.01568694,-0.001200186,0.003940285,-0.0006837911,0.0003283863,0.0007131055,0.004624113,-0.0005999435,0.0001828194,-0.0006560645,-0.0009842082,0.002705493,0.00653382,0.003103425,-3.027582E-05,-0.0007542709,0.0113727,-0.001293491,0.006460827,0.009301692,-0.0003617491
7,-0.0004483861,0.02571261,0.0007876335,0.001268845,0.005397365,-8.803595E-05,0.002776104,0.003095518,0.0003546246,0.0131253,0.003828665,0.01003948,0.005140985,-0.0004175933,-0.00271372,-0.001933594,0.0002170606,0.001443822,-1.341038E-05,0.03257436,0.001946154,0.0006802772,0.001868542,0.001546905,0.01053094,0.02654394,0.001979344,-0.00265003,0.02752972,5.528665E-05,0.01140587,-0.0001758948,0.01192176,0.006135172,0.006020795,-0.001479542,0.001108886,0.0005330358,-0.0007334261,0.002160638,0.001714631,-0.0005670327,-0.001738562,0.005382714,0.001423385,0.001958343,0.007488009,2.120872E-05,0.0006769793,0.001476594,0.0004068844,-0.0007898109,0.00367746,0.005947036,0.0009106681,0.00976526,-0.0003364792,0.004317745,0.00110001,0.008183765,-0.000803038,-0.0002415538,0.001728003,0.001770071,0.01129259,0.009305722,0.0004381495,0.01279098,0.001287054,9.223181E-05,0.0008199419,0.004414367,3.6458E-05,-0.0001810241,-0.0005142738,0.01564969,0.0007839134,0.002403672,-0.00056027,-2.843411E-05,0.0008734263,0.002697199,-8.118776E-05,-0.0006221074,0.0007490288,-8.20928E-05,0.00216645,0.007378547,0.003633315,0.0006925439,-0.0003653224,0.01157148,-0.001091299,0.007381254,0.01063546,0.001580904
8,-0.0002561899,0.02603738,-0.0002264909,-0.0006249991,0.006125805,0.000453221,0.001767806,0.001331805,-0.001016904,0.01310183,0.004973345,0.01291672,0.002978723,0.0009175727,-0.000347266,0.0004460006,-0.001158807,0.001836417,0.001143485,0.0337076,0.001882518,0.001379061,0.005503258,0.004177664,0.0162435,0.02796803,0.001320514,-0.0007172071,0.0264207,-8.679415E-06,0.009943538,0.00102858,0.01397524,0.008131161,0.004766844,0.001492541,0.001934879,0.001588765,0.0009766301,0.0006386291,0.00115103,0.001729933,0.0004170371,0.005788917,5.99267E-05,0.004443931,0.01097884,0.001612171,0.001279259,0.000970175,0.0003453085,0.001348902,0.00488312,0.008284214,0.002232217,0.01099603,0.0004671486,0.004866213,0.002443648,0.009730186,-3.74841E-05,-0.0009062822,-0.000662033,0.002351441,0.009886857,0.008588769,-0.0001284448,0.01504961,-0.0002566187,0.001277475,0.0008541807,0.003629695,-0.001342072,-0.001592182,-4.909655E-05,0.01634934,0.0001713205,0.004168069,0.001472465,0.0007898181,0.0006000468,0.003187443,-0.0003760101,-0.000750976,-0.0008003095,0.0008528387,0.0008567839,0.008405979,0.006376747,-0.001324562,-9.194871E-05,0.01329021,0.0005686946,0.007431221,0.01310822,0.002414067
9,0.0003603862,0.02622144,0.0003539286,0.004375641,0.006471573,-0.0001202523,0.00320731,0.004409898,0.0006676067,0.01563486,0.005292426,0.01387189,0.002888774,0.001202609,-0.001354993,0.0007441071,-0.0003793466,0.00362635,0.001882542,0.03577181,0.00197689,0.004111612,0.005600058,0.005480603,0.01641886,0.03161067,0.004284767,0.0009662705,0.0284611,-0.0006305809,0.01239805,0.002664469,0.01681793,0.01102426,0.009412689,0.000319736,0.001027725,0.003097363,0.0009982074,-0.0001645158,0.002928347,0.001740132,-4.087231E-05,0.009075759,0.0006607485,0.005809566,0.01126869,0.0006783165,0.001368579,0.0002067702,0.0001601847,0.00177426,0.00618616,0.01019919,0.0002962005,0.01182786,0.000206283,0.008108221,0.003550613,0.01096662,-0.0007532506,0.0001584073,3.26886E-05,0.006546594,0.01283279,0.01242724,0.002204713,0.0196177,0.001477496,-0.001654279,0.001914573,0.006175289,-0.0003537528,0.00072164,0.001896998,0.01958925,0.001615332,0.005140037,0.001366622,0.002996768,0.001131472,0.004649189,0.001379987,-0.0004240574,-0.0002183952,0.002837091,0.001537218,0.007760725,0.005262891,0.0009792612,-0.0002761766,0.01432686,0.001519855,0.009992429,0.01298138,0.004345389
10,0.004165287,0.04107033,0.003746582,0.006556193,0.008346041,0.000713458,0.003697451,0.002705615,0.001606875,0.01719927,0.006726574,0.01578186,0.003466157,0.005290323,-0.0005888192,0.003701831,0.004477029,0.00778405,0.00408589,0.03697731,0.0008401196,0.003559364,0.009266578,0.00816075,0.01977499,0.03200646,0.006190357,0.001539915,0.03061369,0.001003033,0.01384817,-0.0001366312,0.01703647,0.009961378,0.007848694,0.002898198,0.001361326,0.002082711,0.0008154009,0.001055608,0.003532072,0.0004782277,-0.0004995064,0.00777196,0.001007688,0.005508299,0.01421399,0.003680517,-0.0001860356,0.003361679,0.001202518,0.0006321989,0.009617624,0.01211737,0.001721303,0.01015748,0.001998841,0.005228756,0.002822932,0.01278174,0.001242444,0.0009083816,-0.0007931216,0.00423953,0.01321199,0.01044448,0.0004482997,0.02016853,0.002972575,0.002470166,0.002732454,0.006893813,0.002761219,0.0008989176,0.001324838,0.0190481,0.0003736171,0.006004263,-0.0008191176,0.002775353,0.0006464591,0.0078636,0.002104849,0.001826945,0.0004958668,0.003743869,0.0003544694,0.01134607,0.007060423,-0.000997509,-0.0003271536,0.0145667,0.001441094,0.009777037,0.01434061,0.00505391
