Cycle\Fluorescence	A1SYBRGreenI	A2SYBRGreenI	A4SYBRGreenI	A5SYBRGreenI	A7SYBRGreenI	A8SYBRGreenI	B4SYBRGreenI	B5SYBRGreenI	B7SYBRGreenI	B8SYBRGreenI	C4SYBRGreenI	C5SYBRGreenI	C7SYBRGreenI	C8SYBRGreenI	D4SYBRGreenI	D5SYBRGreenI	D7SYBRGreenI	D8SYBRGreenI	E1SYBRGreenI	E2SYBRGreenI	F1SYBRGreenI	F2SYBRGreenI	G1SYBRGreenI	G2SYBRGreenI	H1SYBRGreenI	H2SYBRGreenI	H11SYBRGreenI	H12SYBRGreenI
16	0.2101789	0.1895838	0.0005819446	-0.005178553	0.003479541	0.0006843832	0.00992288	0.05847594	0.02087033	-0.001853096	0.02660235	-0.01724274	0.003106199	0.002492894	0.008771349	0.003225925	0.01665197	0.001245709	0.004456315	0.001807219	0.002873722	-0.0003902476	0.05014037	-0.001556352	0.00180816	0.003419733	-0.001481591	0.0004483584
17	0.3586296	0.3175862	0.002159502	-0.01059892	-0.00078077	0.005508589	0.004936974	0.08469527	0.01966948	0.003305841	0.03374197	0.00197732	0.003738331	0.003739428	0.003425384	0.001287332	0.01666065	0.006886196	0.009298597	0.004265199	0.008075403	0.006961989	0.05123758	-0.004852507	0.0003754842	0.007947945	0.0001482356	0.006545726
18	0.5331985	0.4729758	0.0004223343	-0.006791829	0.003135779	0.001237159	0.0005550781	0.1223002	0.01694	-0.0008983717	0.02550489	0.002227891	0.003230731	0.004227451	-0.0003962341	0.003213384	0.01724505	0.002884768	0.003686882	0.008377613	0.007279063	0.005721359	0.05537765	-0.0009583025	0.001109664	0.003474586	0.001618349	0.001525777
19	0.7163144	0.6801071	0.000773211	-0.005851708	0.0005890899	0.002083509	-0.004813956	0.1684307	0.01383745	-0.0006338756	0.02827333	-0.001043129	0.002726533	0.003025722	0.002205891	0.004663373	0.01321888	0.0001544888	0.003786683	0.009475103	0.002858851	0.004022973	0.05548308	-0.006546701	0.002731975	0.004296235	0.001262248	-0.002520046
20	0.8687627	0.9039043	0.0008225431	-0.0003072891	0.002677895	0.001459222	-0.003057117	0.2360942	0.0111437	0.0016009	0.0321632	0.0002698092	0.0032249	0.01050976	-0.003245644	0.0132689	0.02202001	0.002137317	0.004084223	0.008978207	0.007246465	0.004887024	0.0621329	0.001086028	0.002273783	0.004878731	0.0007682818	-0.0006927496
21	0.9828876	1.044775	0.001504972	0.01616962	-0.0002918079	-0.0030086	0.001620741	0.3185735	0.005985442	-0.002812145	0.03375493	0.0002836457	-0.0003173944	0.004905613	0.004506213	0.0105859	0.02277685	-0.001802756	0.002574793	0.01523629	0.004935197	0.005059466	0.06208127	-0.01972392	0.003104611	0.005842099	0.0007667567	-0.0002557085
22	1.060487	1.115264	0.001258574	0.04253647	-0.004324141	0.001182047	0.00748381	0.4256308	-0.007198827	-3.185628E-05	0.03163052	0.003305558	0.001388741	0.005552227	0.004256891	0.008113984	0.02328773	-0.003647477	0.002902377	0.01689079	0.002087789	0.003176984	0.06048468	0.002646769	0.002976967	0.004188375	-0.00350552	0.002588272
23	1.121596	1.224373	0.003364336	0.06062445	0.001099437	-0.003935556	0.01816221	0.5566447	-0.01631665	-0.0005708496	0.03500399	0.003798756	-0.001922912	-0.03184851	0.002426516	0.007407092	-0.01798245	0.0003680343	0.003457745	0.01264926	0.006530734	0.003583281	0.06455319	-0.0001696442	0.002680045	0.002529336	-0.001142171	0.0007365927
24	1.167956	1.263298	0.0007408061	0.08260612	-0.001341452	0.003046406	0.02848551	0.7073387	-0.01497145	-0.0005831159	0.0377867	0.002356846	-0.000122383	-0.0310372	-0.0009861198	0.008366422	-0.01711101	0.002509873	0.004290057	0.01831946	0.006805401	0.003989579	0.06329089	0.001364973	-0.001906553	0.004223152	-0.00191398	0.0007291304
25	1.203667	1.288236	0.004388135	0.0910776	-0.002077224	0.001094229	0.04543577	0.8738203	-0.01087447	-0.001455197	0.03843456	0.005202092	-0.003220796	0.002369223	0.005165983	0.007835807	-0.02148693	-0.00186018	0.004806096	0.01983613	0.004642954	-0.0006941654	0.06393602	0.00212995	0.0001675433	0.003263855	-0.001526371	0.003223182
26	1.231669	1.375834	0.007777527	0.108497	-0.004077981	0.0009700141	0.06728511	1.055476	0.001534636	-0.003776699	0.03952693	0.005262455	-0.003692614	-1.023125E-05	0.001198379	0.008477949	-0.01983815	-0.001023326	0.003504784	0.02316508	0.004078114	0.003603056	0.0696784	0.004838909	0.001796145	0.005296617	0.003419093	0.0005392416
27	1.257151	1.375002	0.005051655	0.1133667	-0.001685304	-0.003822263	0.09375911	1.234593	0.009535065	0.001395933	0.04016158	0.006046572	-0.001414936	0.0007638042	0.002539157	0.006793106	0.01872598	-0.000679996	0.003952541	0.01967384	0.003360636	0.0008100438	0.06821709	0.01262364	-0.0006304603	0.004706972	-0.001028827	3.525939E-05
28	1.276939	1.414998	0.006315569	0.1242917	-0.0007173892	0.0006321599	0.1227567	1.413158	0.02585247	0.001200591	0.03739736	0.003950994	-0.006883522	0.003505028	3.980346E-05	0.009953105	-0.0181796	-0.0009853918	0.004152304	0.02599427	0.00355008	0.0005993713	0.0718253	0.01808022	0.002990002	0.007533957	-0.001227309	-3.840561E-05
29	1.289128	1.4216	0.004493324	0.129787	-0.00120015	-0.001257785	0.1660554	1.587769	0.04246025	-0.001829006	0.04020002	0.006341618	-0.002730593	0.006073902	0.00287296	0.005722897	-0.02056566	-0.002727726	0.004754649	0.02615846	0.005081464	0.0007668464	0.0723329	0.01779015	0.003136288	0.007341127	0.002015155	-0.0009585187
30	1.300813	1.44948	0.002156313	0.1379907	0.003059222	0.004342007	0.2172708	1.745191	0.07076286	0.006026748	0.03665501	0.005993884	-0.002073837	0.007513061	0.005785742	0.006584543	0.008008632	0.003112514	0.003402537	0.02686764	0.006369262	0.003103686	0.07417932	0.01417716	0.004325685	0.003800757	-0.001534893	0.003583086
31	1.311761	1.454446	0.00776768	0.144804	0.0001650783	0.01164895	0.2828322	1.900563	0.1054116	0.002171036	0.03490455	0.006441159	-0.00206473	0.01173832	0.000258197	0.006029228	0.01245868	0.001751681	0.00404858	0.02237906	0.003101465	-0.0002018056	0.06894474	0.01598692	0.004498278	0.005058195	0.004045546	0.002194826
32	1.321765	1.482126	0.005159267	0.1614367	0.00264098	0.033561	0.366188	2.037955	0.1500779	0.008897296	0.03672371	0.009722199	-0.001195849	0.02629334	0.003315149	0.002719708	0.01392476	0.003006513	0.004346122	0.02780736	0.003479162	0.001602649	0.07431856	0.01448082	0.00519357	0.005059639	0.01185917	0.001151765
33	1.325337	1.480454	0.00670821	0.1683138	0.005628571	0.06617503	0.4644887	2.17004	0.2060028	0.01466073	0.04117427	0.006841634	0.004857636	0.05397895	0.003991775	0.0064804	0.01261877	0.01428563	0.002380032	0.02335023	0.003356971	8.769524E-06	0.07568778	0.01440817	0.002336339	0.009444951	0.02027098	0.005234681
34	1.329763	1.48037	0.006973216	0.1789699	0.02326959	0.1343703	0.5771264	2.291883	0.2731577	0.03118441	0.03932449	0.01087764	0.01518309	0.1025518	0.005476119	0.005212674	-0.02100868	0.0315927	0.001274275	0.02041257	0.001682965	0.001952546	0.07504557	0.01465492	0.004147942	0.007999082	0.04004438	0.001642818
35	1.334744	1.524554	0.006797535	0.1891152	0.04156737	0.2478614	0.7082008	2.404024	0.3497089	0.05941112	0.04204542	0.001457404	0.02988143	0.193143	0.003405053	0.003768671	0.01786123	0.06854398	0.0001319198	0.0007098374	0.003207988	0.000413402	0.07222863	0.01988509	0.002094775	0.003553477	0.07254457	0.005125181
36	1.324402	1.515663	-0.007142991	0.1822024	0.0807801	0.4007109	0.8408605	2.50151	0.4327914	0.1075874	0.02787994	-0.009152401	0.04967007	0.332853	-0.008376127	-0.0104016	0.00600282	0.1264465	-0.01014416	-0.003320667	-0.01162529	-0.01024851	0.05523761	-0.006095551	-0.01049186	-0.01518162	0.1155649	-0.01344267
37	1.33939	1.515579	0.0113925	0.2038326	0.1890237	0.625721	0.9917212	2.60696	0.5505283	0.2180523	0.04794118	-0.001212604	0.1199356	0.5418487	0.001157652	0.002527237	-0.01974417	0.249561	0.00396459	0.003979407	-0.003813499	0.002216186	0.07445288	-0.01507678	0.00207167	0.003040861	0.2097848	0.006013449
38	1.326491	1.504574	-0.01075267	0.196432	0.3298727	0.831977	1.136393	2.694929	0.648941	0.3562967	0.03123238	-0.009436794	0.2187449	0.7607264	-0.009187249	-0.01095364	-0.0300893	0.3857532	-0.01090045	-0.04879527	-0.01291204	-0.01329246	0.06298973	-0.04629546	-0.00902865	-0.01196228	0.2945929	-0.007253457
39	1.3304	1.519172	-0.006357308	0.2068193	0.5430367	1.011622	1.277673	2.784894	0.7794427	0.5582272	0.03326526	-0.005420803	0.3808433	0.9313872	-0.01010615	-0.01590352	0.008035341	0.5581785	-0.01091903	-0.03144835	-0.009881578	-0.01324587	0.06488786	-0.05299343	-0.01002384	-0.01138805	0.3893992	-0.005984154
40	1.331223	1.554202	-0.006508563	0.2159925	0.773048	1.126454	1.416156	2.86251	0.9091837	0.7733465	0.02710054	-0.01391706	0.5894632	1.054342	-0.008186887	-0.01375444	0.01055054	0.7202738	-0.01045087	-0.05585108	-0.01688626	-0.01155286	0.06208016	-0.04747272	-0.009279936	-0.01275066	0.4785091	-0.006308443
41	1.340588	1.59151	0.006546838	0.2384554	0.9879618	1.225381	1.560987	2.959759	1.062339	0.996798	0.04338365	0.001928661	0.8212924	1.156052	0.008521653	0.0003355723	-0.009479773	0.8667929	0.001582018	-0.01673739	0.001294792	-0.004019021	0.07750112	-0.02410406	0.007336515	0.006265453	0.5594475	0.008584418
42	1.342396	1.594334	0.004338471	0.2434676	1.131238	1.29465	1.682927	3.030542	1.199579	1.191868	0.03851948	0.001482327	0.9956997	1.223647	0.009855793	-0.0003360582	0.03228265	0.971019	0.0001430667	-0.005283674	0.0006486702	-0.002126792	0.07869554	-0.01823509	0.01061042	0.007938011	0.6102641	0.01006179
43	1.333559	1.591754	-0.006690064	0.2417645	1.223606	1.317673	1.788311	3.091335	1.335616	1.297321	0.02808771	-0.01960934	1.103845	1.263102	-0.005824033	-0.01206071	0.03095435	1.023858	-0.006868628	-0.009285172	-0.01210861	-0.01963128	0.06292994	-0.02530824	-0.004288905	-0.01223377	0.6374877	-0.001881067
44	1.328686	1.604065	-0.007021827	0.2517383	1.300392	1.356434	1.890788	3.155195	1.474429	1.399224	0.02878607	-0.03276486	1.18346	1.309869	-0.005887566	-0.01030274	0.0356234	1.071317	-0.00728516	0.0004037719	-0.01477992	-0.02222405	0.0682033	-0.01863754	-0.007206182	-0.01338439	0.6759034	-0.005855959
45	1.328443	1.619665	-0.005717684	0.2541751	1.365399	1.390315	1.989609	3.220362	1.612904	1.509681	0.03059096	-0.0503611	1.250578	1.345832	-0.006617663	-0.006937785	0.03632589	1.107348	-0.0001447924	0.01254402	-0.01027258	-0.0211055	0.07049918	-0.007278402	-0.006123718	-0.01069499	0.7038491	-0.004771077
46	1.343255	1.627741	-0.006464303	0.2679443	1.411702	1.425968	2.083697	3.27727	1.752153	1.583398	0.03513984	-0.0569945	1.294431	1.378585	-0.0006688508	-0.005910889	0.04790026	1.153532	0.01011932	0.03326869	-0.008935599	-0.02310315	0.06846561	-0.001604882	-0.004637486	-0.008076451	0.7420443	-0.004717062
47	1.339322	1.628319	0.005142076	0.2881356	1.463923	1.45926	2.180544	3.352236	1.89393	1.661473	0.04588164	-0.05472523	1.344848	1.422487	0.01055034	0.01807185	0.07296499	1.183801	0.04489528	0.0669762	0.01282546	-0.01041027	0.08259268	0.02159018	0.01221636	0.003177561	0.7691521	0.007239251
48	1.315474	1.62893	-0.004773306	0.2794197	1.48047	1.459939	2.249958	3.393211	2.001984	1.70944	0.03322506	-0.08434151	1.36078	1.438928	-0.006690633	0.02703888	0.06603539	1.187017	0.07286754	0.07741979	0.01100814	-0.02473001	0.06906553	0.01791256	-0.01039985	-0.01409838	0.7740936	-0.003970611
49	1.325916	1.594222	-0.002799389	0.2937903	1.508551	1.478042	2.323431	3.442829	2.119951	1.756851	0.03664029	-0.08827481	1.396067	1.502205	-0.006079761	0.04524033	0.06973159	1.201976	0.1190554	0.09230945	0.02351769	-0.01790415	0.06907655	0.03514213	-0.00267095	-0.007243531	0.7985327	-0.002937677
50	1.315134	1.634225	-0.00260537	0.2988901	1.556994	1.491875	2.38879	3.493148	2.235983	1.794933	0.03771907	-0.105901	1.435014	1.535253	-0.005090063	0.07811436	0.07462678	1.215796	0.1767456	0.1158173	0.04960795	-0.02182167	0.07003554	0.04893072	-0.004899662	-0.01039348	0.8012023	-0.002618754
