Cycle\Fluorescence,A1SYBRGreenI,A2SYBRGreenI,A3SYBRGreenI,A4SYBRGreenI,A5SYBRGreenI,A6SYBRGreenI,A7SYBRGreenI,A8SYBRGreenI,A9SYBRGreenI,A10SYBRGreenI,A11SYBRGreenI,A12SYBRGreenI,B1SYBRGreenI,B2SYBRGreenI,B3SYBRGreenI,B4SYBRGreenI,B5SYBRGreenI,B6SYBRGreenI,B7SYBRGreenI,B8SYBRGreenI,B9SYBRGreenI,B10SYBRGreenI,B11SYBRGreenI,B12SYBRGreenI,C1SYBRGreenI,C2SYBRGreenI,C3SYBRGreenI,C4SYBRGreenI,C5SYBRGreenI,C6SYBRGreenI,C7SYBRGreenI,C8SYBRGreenI,C9SYBRGreenI,C10SYBRGreenI,C11SYBRGreenI,C12SYBRGreenI,D1SYBRGreenI,D2SYBRGreenI,D3SYBRGreenI,D4SYBRGreenI,D5SYBRGreenI,D6SYBRGreenI,D7SYBRGreenI,D8SYBRGreenI,D9SYBRGreenI,D10SYBRGreenI,D11SYBRGreenI,D12SYBRGreenI,E1SYBRGreenI,E2SYBRGreenI,E3SYBRGreenI,E4SYBRGreenI,E5SYBRGreenI,E6SYBRGreenI,E7SYBRGreenI,E8SYBRGreenI,E9SYBRGreenI,E10SYBRGreenI,E11SYBRGreenI,E12SYBRGreenI,F1SYBRGreenI,F2SYBRGreenI,F3SYBRGreenI,F4SYBRGreenI,F5SYBRGreenI,F6SYBRGreenI,F7SYBRGreenI,F8SYBRGreenI,F9SYBRGreenI,F10SYBRGreenI,F11SYBRGreenI,F12SYBRGreenI,G1SYBRGreenI,G2SYBRGreenI,G3SYBRGreenI,G4SYBRGreenI,G5SYBRGreenI,G6SYBRGreenI,G7SYBRGreenI,G8SYBRGreenI,G9SYBRGreenI,G10SYBRGreenI,G11SYBRGreenI,G12SYBRGreenI,H1SYBRGreenI,H2SYBRGreenI,H3SYBRGreenI,H4SYBRGreenI,H5SYBRGreenI,H6SYBRGreenI,H7SYBRGreenI,H8SYBRGreenI,H9SYBRGreenI,H10SYBRGreenI,H11SYBRGreenI,H12SYBRGreenI
1,-0.002920695,-0.007025383,-0.00287105,-0.003720204,-0.001274138,0.01163368,0.001021882,-0.007255724,-0.009132294,0.007230668,-0.008434077,0.005557748,-0.006663542,-0.006542835,-0.007129311,-0.008025145,0.01224009,-0.007576216,-0.006392633,-0.001749291,0.001038737,-0.006153178,0.001494943,0.008573719,0.004011869,-0.006120995,-0.008741729,0.004678503,-0.0005743915,0.005670743,0.001063911,0.00149515,0.006330432,-0.001817329,-0.003649559,0.003973621,-0.007091037,-0.007959477,-0.009656496,-0.004517603,0.001256804,-0.004579733,-0.003330775,-0.006617251,-0.001985489,-0.004862598,-0.0009392959,0.007356389,0.001233637,0.00476503,-0.005014795,0.004376738,-2.321026E-05,-0.004393014,-0.003528514,0.002065414,0.003644734,-0.0002507913,-0.004766668,-0.001607769,0.002036664,-0.008390026,-0.005804122,-0.0006017342,-0.006599693,-0.002042976,0.0005844126,0.001345963,0.003857298,-0.004877745,-0.0007832419,0.007482276,-0.00118259,-0.002915231,-0.005331595,-0.006190885,-0.003226457,0.0008693964,0.003315427,-0.008006426,0.005362099,-0.006840644,0.004881777,-0.00688494,0.003541813,-0.009027553,-0.002410372,-0.009638685,-0.006966576,-0.00244123,0.005995723,-0.009136318,-0.005752882,-0.007401927,0.005772134,0.002847037
2,-0.001166065,-0.001506059,-0.0001287246,-0.002504567,0.002239638,0.01568976,0.003952273,-0.006912752,-0.003318603,0.01248546,-0.001124765,0.01193864,-0.004463024,-0.002855253,-0.003681973,-0.00426374,0.01929379,-0.00467446,-0.003416762,0.00190331,0.008119018,-0.0007518689,0.008623594,0.01195264,0.01247632,-0.002750995,-0.002966615,0.01051037,0.0006649778,0.01082835,0.00461142,0.004377509,0.01210656,0.0004869184,0.0002984202,0.007739575,-0.002048133,-0.0048789,-0.004426852,-0.003318721,0.002574604,-0.003478205,-0.002168769,-0.0007273262,-0.0004248022,-0.005011447,0.00124102,0.01399153,0.005841364,0.01033003,-0.002332959,0.008615283,0.002114139,-0.004712064,-0.001635843,0.004225838,0.006776214,0.0001471026,-0.002355536,0.002026031,0.008418724,-0.00549743,-0.003956108,0.003526927,-0.002895491,0.001010029,0.004337453,0.002822095,0.007584566,-0.003078197,0.001042124,0.01322963,-0.0003384769,0.0001189574,-0.002123539,-0.004173092,-1.414843E-05,0.004829275,0.00785173,-0.006929376,0.011783,-0.005580542,0.01194447,-0.004806107,0.009902952,-0.004329571,0.000598865,-0.00496519,-0.003855099,-0.0005192471,0.01345789,-0.004739517,-0.002783318,-0.003056241,0.01233626,0.005377751
3,-0.0004818177,-0.001615097,-0.0005014403,-0.001624856,0.005233729,0.02178808,0.008468899,-0.002415294,-0.002364252,0.01748629,-0.004066023,0.013003,0.0003981577,-0.002375039,-0.004326712,-0.002308339,0.02446483,-0.001681833,-0.001264529,0.005640324,0.01105965,-0.0001928137,0.008480193,0.01467808,0.0140561,-0.001317986,-0.00286159,0.01478834,0.0004718005,0.01449906,0.008372276,0.009926205,0.01909333,0.006324981,0.0001245365,0.00985601,-0.001151543,-0.0007769942,-6.767103E-05,-0.001515131,0.007914985,-0.0026171,-0.003097869,-0.001287227,0.002065372,-0.003294359,0.004751272,0.01970736,0.007676576,0.01596813,-0.003276496,0.01301605,0.004785236,-0.002109138,-0.00310991,0.007392179,0.01007937,0.001519348,-0.001699584,0.006119812,0.01314134,-0.003506059,-0.003796964,0.00628987,-0.00179763,0.004912497,0.007801516,0.009832886,0.0109406,5.78268E-05,0.004078357,0.01674072,0.0003605114,-7.675248E-05,-0.0001477902,-0.002368583,0.00263793,0.00974237,0.01272342,-0.002623832,0.01752478,-0.00174832,0.01520482,-0.001346431,0.01277843,-0.001918747,0.001650793,-0.002869554,-0.003230458,0.00434359,0.01682502,-0.003175745,-0.001891213,-0.003585015,0.01582442,0.008712226
4,0.0009914713,0.002550652,-0.0002953137,-1.782776E-05,0.005177335,0.02619767,0.01173797,-0.002415461,-0.002879874,0.02021104,-0.003315641,0.01937209,0.0005193803,-0.00222008,-0.0002651369,-0.002187373,0.03017444,-0.001028298,-0.002247055,0.009411758,0.01416497,-0.0003180997,0.01457249,0.01959854,0.01748286,-0.002390533,0.000378135,0.01773376,0.005581548,0.0203347,0.01117457,0.01265766,0.01926125,0.007232809,0.0002070915,0.01478871,0.0002088707,0.0009783671,0.002030481,-0.0003115408,0.01085755,-0.0009138215,-0.001661504,-0.002769768,0.004057536,-0.001902957,0.00937932,0.02299887,0.01157531,0.01698527,-0.002575403,0.01734905,0.009391691,-0.0005055267,-0.0003233843,0.007046445,0.01400303,0.002064778,-0.001379803,0.006549906,0.0158983,-0.0004257318,-0.001034259,0.007376892,-0.001884917,0.005579988,0.01196947,0.01181538,0.01422464,-0.0006921657,0.005024145,0.01880046,0.0009046186,-0.00156364,0.001279066,-0.001408029,0.007521503,0.01402623,0.01506671,-0.003173755,0.01849096,-0.0008504286,0.01840388,-0.002062807,0.01463124,-0.0008375621,0.004983088,-0.001962246,-0.0008476885,0.007831833,0.02513363,-0.001571239,-0.001869395,-0.002494124,0.0177075,0.01290566
5,0.0003760527,0.002608172,0.0005866862,-0.002585649,0.004900638,0.03193284,0.01355192,-0.002311109,-0.001490149,0.02435843,-0.001126388,0.01907787,0.004370085,-0.0002736294,-0.0003893614,-0.001593762,0.03271349,-0.001641716,-0.001198949,0.009813432,0.01482257,-0.0009353908,0.01550968,0.02203665,0.02077019,0.0005784625,-2.615098E-05,0.02183869,0.009066948,0.02464012,0.01369907,0.01427405,0.0235428,0.008854466,0.0012557,0.01505837,0.002493344,0.0009125788,0.002406,-0.0002420309,0.01236555,0.0009145052,0.0001434295,-0.001812337,0.006006799,-5.960087E-06,0.009552058,0.0284879,0.01167821,0.02221907,0.0001805422,0.01809625,0.01047977,0.001546292,0.001021419,0.01148081,0.01715922,0.00512726,0.002702743,0.006688867,0.01829774,-0.001514102,-0.0009879308,0.01091301,0.0002952196,0.006597628,0.01577226,0.0146682,0.01689319,-0.002061312,0.007573542,0.0199004,-0.0009604698,0.0001302055,0.0001456834,-0.00197083,0.008118013,0.01833286,0.02030855,-0.0008117038,0.02101473,-0.002403449,0.02205068,-0.001987116,0.01742156,0.0009606293,0.007846244,-0.001149354,-8.460002E-05,0.010605,0.02829318,-0.001213293,-0.0009320984,0.0003327397,0.02199501,0.01643281
6,0.00118781,0.000670518,-0.0003381042,-0.001132521,0.007127771,0.03551107,0.01715098,0.0006731167,0.0002319594,0.02599831,-0.0004267815,0.01986257,0.006835875,-0.0008413577,0.001087459,9.819845E-06,0.03693,-0.00211654,-0.0008757256,0.01393671,0.01838519,0.0007467043,0.01878405,0.02264648,0.02414196,-0.0003881048,-0.0009871901,0.02312945,0.01297371,0.02491902,0.01560382,0.01642659,0.02638243,0.01246149,0.002633457,0.019047,0.001485631,0.002749232,0.001354373,0.002260438,0.01745288,-0.0006376093,-0.0008410506,0.0002460086,0.004321244,-0.0008495582,0.0110887,0.03035416,0.0118293,0.02457119,0.0003815837,0.02334194,0.01238779,-0.001261721,0.0001795076,0.01322085,0.01996337,0.008050838,0.005302855,0.008298611,0.01966371,-0.0009267844,0.0009674952,0.01362753,0.0002227287,0.009967119,0.01784559,0.01700733,0.01937871,-0.0003697481,0.008309679,0.02054247,0.0001995037,0.0001736235,0.0007664886,0.0006197222,0.009470233,0.01919176,0.02156398,0.001819879,0.02357236,-0.0005894606,0.0261168,-0.001470248,0.02177018,0.000349135,0.01068987,0.001885225,0.001477908,0.0131135,0.02878053,0.0001004653,7.983365E-05,-0.0003896768,0.0232931,0.01776932
7,0.001986115,0.002286291,0.00154488,-0.0006027978,0.008484466,0.03576628,0.01669944,0.001808859,0.0001423483,0.02763109,0.001981999,0.02347149,0.006316332,0.0005510419,0.001071675,-0.0005991501,0.04128358,0.0003530922,-0.0009996393,0.01567673,0.01939514,-0.00136101,0.02138807,0.02500861,0.02603901,0.0006367399,-7.494348E-05,0.02569762,0.01254698,0.02692148,0.01559843,0.01866947,0.02652176,0.0122975,0.005780458,0.01996588,0.001428877,0.002411747,0.002655795,0.002828378,0.01823154,0.001419396,-0.0005956934,-0.000214777,0.009487466,0.001940586,0.01256014,0.03242147,0.01576864,0.0242613,0.001408309,0.0227364,0.01255293,-7.592899E-05,0.000843894,0.01379106,0.0204643,0.009595841,0.002239993,0.01110187,0.02192869,0.001756351,0.0004463628,0.01483457,0.001659506,0.008303899,0.02007283,0.01677435,0.02142118,0.0007433314,0.01181059,0.02402113,0.0002722601,0.0005958467,0.002309499,-0.0003682352,0.0121227,0.01838376,0.02461316,-0.0009783085,0.02342413,8.715838E-05,0.02748169,0.001160598,0.02227218,0.0009084484,0.01114925,0.001290355,0.0005156198,0.01434233,0.03279734,-0.0002045486,0.002560503,2.81061E-05,0.02417977,0.02217499
8,0.001649113,0.0009702967,0.00140136,0.001313595,0.009801396,0.04111598,0.01714528,0.0008095118,0.001986174,0.02835323,0.001554103,0.02416139,0.00908462,0.002691269,0.001476485,0.001030018,0.04298757,0.0005457389,0.001712887,0.01586697,0.02201418,0.00169481,0.02392314,0.02830183,0.02628921,0.001892162,0.0004968325,0.02624348,0.0155995,0.03003753,0.01827908,0.02075291,0.02867727,0.01471235,0.004197554,0.02268324,0.001711026,0.002928098,0.002529503,0.001746992,0.01907906,0.00231919,0.001241068,0.001477706,0.008801409,7.370883E-05,0.01501823,0.03482497,0.0151305,0.02577397,0.0008547817,0.02331301,0.01595027,0.003143022,0.002866395,0.01628391,0.02328879,0.01065197,0.003486668,0.01302305,0.0238755,0.0004633488,0.002740238,0.01589451,0.0007041425,0.01040796,0.02034605,0.02012738,0.02361213,0.002124968,0.01016774,0.02545917,0.0008438076,0.001570076,0.001302536,0.0007815911,0.01459133,0.02079939,0.02474758,0.001426163,0.02488848,-0.0005110073,0.03072113,0.002565229,0.0230492,0.002565961,0.01380344,0.001810886,0.00264978,0.01727997,0.03402846,-0.0002398841,0.003633376,0.002463355,0.02763839,0.02530687
9,-0.000245499,0.001816621,0.0006276934,0.0003316538,0.01107199,0.04187247,0.01929595,0.0005779554,0.0007496087,0.03027929,-0.0008592448,0.02696253,0.008907154,0.002048453,0.0002082143,0.001904374,0.04309282,-0.001641238,-0.0007879855,0.01513369,0.02520805,0.001123623,0.02583317,0.02717305,0.02659124,0.001749084,0.001095818,0.02853937,0.01440916,0.03107163,0.01710539,0.02113302,0.0308042,0.01486723,0.004584443,0.02261997,0.002712826,0.003088192,0.001421877,0.002680179,0.02043808,0.001046189,-0.0007103492,0.0006184622,0.009125647,-0.00146606,0.01469948,0.03528418,0.01579696,0.02895459,-0.0001748427,0.02478093,0.01792178,0.0002217498,0.002613816,0.01767309,0.02286491,0.01161306,0.005986074,0.0149666,0.02568197,0.001945856,0.00150843,0.01511403,0.0004865026,0.01465565,0.02022676,0.01967972,0.02295623,0.000293034,0.01051916,0.02542577,0.0002842356,0.0009894185,0.001584609,0.002832578,0.01403671,0.02222194,0.02641027,0.0001590146,0.02717158,-0.001739166,0.03065755,0.001507698,0.02432664,0.001518818,0.01461242,0.00149275,0.002614937,0.01964181,0.03554276,0.002262847,0.002024177,0.002928157,0.02838378,0.02523937
10,0.002070645,0.002207258,0.0003910468,0.002227735,0.01312269,0.04380076,0.01801839,0.002699731,0.001685234,0.03336054,0.0009715976,0.02805835,0.01108328,0.001057516,0.0009778485,0.0008618496,0.04676824,0.001654725,0.0005310092,0.01824734,0.02551158,0.0006410389,0.02534967,0.0302887,0.02909972,0.002702321,0.00215109,0.02910613,0.01609884,0.03212081,0.02042736,0.02446284,0.03306103,0.01676945,0.005540931,0.0247899,0.00130647,0.00182379,0.002870215,0.001407089,0.02252481,0.00204685,0.002427545,0.001820024,0.01093812,0.001350395,0.01826879,0.03813761,0.0169759,0.02985783,0.003967473,0.02850685,0.01772459,0.003938632,0.002920661,0.01957078,0.02596719,0.01355793,0.006391563,0.01520297,0.02676846,0.002195742,0.003098385,0.01547979,0.002288266,0.01344042,0.0235947,0.02139162,0.0278113,0.0009587521,0.0152946,0.03012234,-0.0004332641,0.0001634923,0.001003369,0.001408165,0.01578873,0.02102994,0.02679778,0.000872557,0.03011934,0.002233994,0.03473408,0.00294585,0.02381475,0.003643746,0.01641656,0.002544611,0.002161032,0.02161344,0.03657426,0.000642449,0.002106936,0.003253759,0.02915345,0.02828051
