Cycle\Fluorescence,A1SYBRGreenI,A2SYBRGreenI,A3SYBRGreenI,A4SYBRGreenI,A5SYBRGreenI,A6SYBRGreenI,A7SYBRGreenI,A8SYBRGreenI,A9SYBRGreenI,A10SYBRGreenI,A11SYBRGreenI,A12SYBRGreenI,B1SYBRGreenI,B2SYBRGreenI,B3SYBRGreenI,B4SYBRGreenI,B5SYBRGreenI,B6SYBRGreenI,B7SYBRGreenI,B8SYBRGreenI,B9SYBRGreenI,B10SYBRGreenI,B11SYBRGreenI,B12SYBRGreenI,C1SYBRGreenI,C2SYBRGreenI,C3SYBRGreenI,C4SYBRGreenI,C5SYBRGreenI,C6SYBRGreenI,C7SYBRGreenI,C8SYBRGreenI,C9SYBRGreenI,C10SYBRGreenI,C11SYBRGreenI,C12SYBRGreenI,D1SYBRGreenI,D2SYBRGreenI,D3SYBRGreenI,D4SYBRGreenI,D5SYBRGreenI,D6SYBRGreenI,D7SYBRGreenI,D8SYBRGreenI,D9SYBRGreenI,D10SYBRGreenI,D11SYBRGreenI,D12SYBRGreenI,E1SYBRGreenI,E2SYBRGreenI,E3SYBRGreenI,E4SYBRGreenI,E5SYBRGreenI,E6SYBRGreenI,E7SYBRGreenI,E8SYBRGreenI,E9SYBRGreenI,E10SYBRGreenI,E11SYBRGreenI,E12SYBRGreenI,F1SYBRGreenI,F2SYBRGreenI,F3SYBRGreenI,F4SYBRGreenI,F5SYBRGreenI,F6SYBRGreenI,F7SYBRGreenI,F8SYBRGreenI,F9SYBRGreenI,F10SYBRGreenI,F11SYBRGreenI,F12SYBRGreenI,G1SYBRGreenI,G2SYBRGreenI,G3SYBRGreenI,G4SYBRGreenI,G5SYBRGreenI,G6SYBRGreenI,G7SYBRGreenI,G8SYBRGreenI,G9SYBRGreenI,G10SYBRGreenI,G11SYBRGreenI,G12SYBRGreenI,H1SYBRGreenI,H2SYBRGreenI,H3SYBRGreenI,H4SYBRGreenI,H5SYBRGreenI,H6SYBRGreenI,H7SYBRGreenI,H8SYBRGreenI,H9SYBRGreenI,H10SYBRGreenI,H11SYBRGreenI,H12SYBRGreenI
1,-0.002083055,-0.004092698,-0.001601628,-0.0008033332,0.01266443,0.01136435,0.006044195,-0.002183656,0.003269397,-0.00557262,-0.002225886,-0.003184462,-0.0005733882,-0.004466484,-0.000425154,-0.003277303,-0.001222367,-0.001724897,-0.002159134,-0.004048699,-0.00391432,0.005379297,-0.004265328,-0.001231674,-0.002382975,-0.00270659,-0.001874202,-0.0002137641,-0.005016856,-0.003619336,-0.008609794,0.001428705,0.004387002,-0.0001864968,0.0001048253,-0.002623884,-0.003245931,-0.004670539,-0.002713452,-0.002258382,-0.008050365,-0.01042381,-0.008023323,-0.0006606265,-0.002662787,-0.003040814,-0.00124019,-0.00336808,0.001652859,-0.00410827,-0.002263166,-0.003183371,-0.001181344,-0.0006687533,-0.0009815774,-0.001935595,-0.000514732,-0.003031084,-0.003153618,0.003122654,-0.005205357,-0.004324482,-0.002921635,-0.001694659,-0.008762871,-0.0007190958,-0.0145298,-0.004182918,-0.001619281,-0.007206601,-0.007103262,-0.007020861,-0.001891532,-0.001226303,-0.005361875,-0.003110223,0.002920682,-0.005172507,-0.005556406,0.002306295,-0.003301813,-0.005619862,-0.004239014,-0.0009805065,-0.005486229,-0.003678032,-0.004299138,-0.003425402,-0.01851108,-0.008216655,-0.01902305,-0.004474268,-0.00378072,0.0008817473,-0.008166631,-0.01572274
2,-0.001782175,0.0008580012,-6.029586E-05,-0.0007582912,0.0252959,0.02130423,0.01355578,0.003382625,0.007224719,-0.004049418,-0.0002234591,-0.0022119,0.001072167,3.010654E-05,0.000175414,-0.001723122,0.004610138,0.00541597,0.005503438,-0.002225761,-0.002842566,0.01138704,-0.001290687,8.737113E-05,0.0009029956,0.0003747072,0.0008479707,0.002827251,0.0002387907,0.00175271,0.001827109,0.004907566,0.00826391,0.00146481,0.00110458,-0.0005289622,-0.001123591,0.001180335,-0.0004693516,0.0004176897,-0.002439237,-0.005240807,-7.573336E-05,0.001046345,-0.001625814,-0.002280058,0.002885513,-0.002274164,0.004138658,-0.002606543,-0.001008364,0.0001946822,0.001588698,-0.001508298,-0.0006680607,-0.0001086968,0.001598386,-0.0004381957,-0.002791067,0.008132702,-0.0008654575,-0.0009738663,0.0006144377,-0.001726042,-0.001581788,0.001424887,-0.005830079,-0.003045221,-0.0008107101,-0.001902171,-0.001660837,-0.002530522,0.00124887,0.0006379212,-0.0001760915,-0.0003133852,0.0183753,0.0003760229,0.00162384,0.006978714,-0.003145314,-0.002626926,-0.001399271,0.004076559,0.001059713,-0.002018427,3.195117E-05,-0.001694632,-0.005992813,-0.000348996,-0.006100626,-0.0004507114,-0.001365629,0.0004175894,-0.002049961,-0.005960944
3,4.626356E-05,-0.002179967,-0.0002207421,-0.0003766363,0.04209328,0.03584615,0.03864566,0.004071875,0.009678778,-4.388077E-05,0.001990018,-0.000848759,-0.0005691797,0.003623611,0.0005790781,-0.0003255535,0.007613312,0.008708792,0.008416914,0.0002014686,-0.0001874741,0.01707667,-2.526872E-05,0.001268228,0.00139738,0.0008532009,0.0001706232,0.006970444,0.002047665,0.001775806,0.003349643,0.01104387,0.01075547,0.003148583,0.004222775,0.002578935,0.001277993,0.001760751,0.002153967,-0.0002789659,0.000206535,0.005423449,0.000611395,0.002337168,0.000448903,-0.001906901,0.002513709,0.001810001,0.009080038,1.263778E-05,-0.001093603,0.002776986,0.001943531,0.0001895749,0.0002619482,0.0006463063,0.002611357,0.0003893838,-0.0001221845,0.007921032,-0.0008807736,0.0006802396,0.0002975525,0.000820479,-0.0002512375,0.0008897796,-0.001974475,-0.0005370877,0.0005698561,7.988859E-05,-0.0001871536,-0.0008482307,0.001523759,0.001395174,0.0003396914,0.0002940399,0.02260081,0.002061961,0.003838055,0.008438694,-0.002034934,-0.003614555,-0.0005629504,0.004498769,-0.0007990653,2.284068E-05,-0.0002414296,-0.000209914,-0.001244065,0.0001153469,-0.003818806,-0.0005894896,-0.0007445927,-0.0002315152,-0.0007462536,-0.0009292523
4,0.0004978884,0.001321874,0.0003700382,-0.0002527991,0.07530132,0.06286301,0.05116685,0.005848736,0.01083685,-0.001825578,0.004130698,-0.0009594617,-0.0005110833,0.003725612,-0.0002161911,0.001536071,0.01245944,0.01414239,0.01316713,-0.002374297,-0.002114139,0.01768203,-0.0006847001,0.00124986,0.001375785,0.001356065,0.002227063,0.01076649,0.002729805,0.003355082,0.003665457,0.0124276,0.01172903,0.00582851,0.001970333,0.002627191,0.00145666,0.002983636,0.002680091,0.00133614,0.001823429,0.005399259,0.001029627,0.002504461,-0.002125377,-0.001618548,0.002992366,0.002743109,0.008812171,0.0005521136,-0.0003379822,0.005459495,0.001388778,-0.0004360241,-3.593185E-07,0.001181321,0.006544515,0.001618205,-0.000881193,0.009950113,0.0002431368,-0.0001942945,0.001523204,0.002223004,0.0004721452,-0.0007402496,-0.001558433,0.0003131176,0.0006484821,0.001067749,-0.0001258035,0.001204556,-0.0003191669,0.00100706,-0.0008483853,0.001119468,0.02623921,0.0008090086,0.004843427,0.01001539,-0.0008894838,-0.0007929415,-0.002379676,0.007812037,-0.0002597097,0.0009868949,0.0005254447,0.000166407,0.002536838,0.0008899512,0.0001320406,-0.0008452538,-0.00194977,-0.001830279,-0.0005160748,0.0004128402
5,-7.943603E-05,0.002346148,0.001334886,0.0004465578,0.1335912,0.1210533,0.09059928,0.007676795,0.01249189,-1.130566E-05,0.005409578,0.0004729481,-0.0005026875,0.002587636,-0.0003951596,0.001838341,0.01987344,0.0231069,0.02116751,-0.0004292584,-0.0001138277,0.0214486,0.0001979685,0.001310832,7.424349E-05,0.001413077,0.0002181268,0.01165877,0.004749002,0.003713518,0.005187049,0.01455948,0.0141715,0.006343459,0.006739972,0.004560618,0.002278262,0.002509748,0.001104029,0.0007727963,0.002805634,0.003738468,0.003047349,0.002532321,-3.826648E-05,-7.335106E-05,0.004598748,0.004959202,0.01184957,-0.0002796326,0.0006627837,0.008043725,0.003126079,0.0001677331,-9.983937E-05,0.001203366,0.009854141,0.002196447,-0.0005132236,0.01100914,0.001836821,0.001301497,0.001369266,0.001680421,0.001935496,0.0004834605,0.001548027,-0.000487404,-0.001300985,0.001417431,0.001845608,0.0009729845,-0.0005071579,0.0007879059,0.001529843,0.002902116,0.02750007,0.001067021,0.004044955,0.01247761,0.001415996,-0.0003285687,-0.0001548449,0.009117357,0.0009792239,0.001085969,0.002041201,-0.001506355,0.002822921,0.001909355,0.00189071,-0.001444509,-0.001173677,-0.000774982,0.0002659177,0.0002872408
6,0.006250388,0.005555187,0.007181503,0.001404993,0.2396258,0.2294172,0.1625526,0.00856349,0.01327464,0.0003903297,0.004854121,-0.0004392882,-0.0008587377,0.00535411,-0.001738869,0.001560752,0.03372137,0.03850865,0.03463509,-0.0004145382,0.0004291962,0.02171204,-0.0007401978,0.001465925,0.0004223089,0.0007392534,-0.0005134706,0.01476348,0.007030575,0.00362984,0.005936278,0.01561919,0.01420672,0.007810545,0.005067735,0.00415848,0.001243676,-0.0005453339,0.0007212617,0.001352125,0.003588577,0.004042958,0.003929651,0.003656021,-0.0008666378,-0.0004585403,0.004878007,0.00593293,0.01127983,0.0009661479,-0.0006354791,0.007752069,0.004125447,-0.001661726,0.0007911984,0.001635109,0.01165482,0.002035314,-0.0002650558,0.01370554,0.001383921,0.001694947,0.001078932,0.002466702,0.00118063,-0.0001244172,0.002610405,-0.002042939,0.001210128,0.001269766,0.002387862,0.002464053,-0.0002597797,-0.001834429,0.0009015162,0.002172002,0.02552922,0.00266992,0.006402069,0.01317616,-0.0001689083,0.001421006,-0.0009649005,0.0121388,0.0002681449,0.001457021,0.001284754,0.0009387797,0.004683425,0.001792043,0.0005335147,0.0004627229,-0.001755185,-0.0006892845,0.0007679425,0.00307213
7,0.0197137,0.01853397,0.02101343,-1.055689E-06,0.4079115,0.4105829,0.2903138,0.009978355,0.01478049,0.001134293,0.005201028,0.0003126621,-0.001133862,0.008535678,-0.0001880524,0.00365261,0.05965344,0.06475575,0.05836194,0.0003084654,0.001514639,0.02183295,-0.0004886272,0.003566736,-8.15013E-05,0.0003268044,-0.0003008874,0.01657572,0.01022147,0.004690232,0.009354972,0.0174214,0.01643226,0.009233866,0.003943677,0.00465511,0.001922216,0.0004158306,-0.0003059297,0.001497115,0.004263075,0.003183588,0.003290883,0.004256055,-0.0008082518,-0.0003403397,0.005802944,0.006139815,0.01215491,-7.79797E-05,0.00175042,0.01065249,0.007002638,-0.0009498872,0.0004170609,0.002566544,0.01290951,0.002700921,0.001134773,0.01292263,0.001922878,0.0005023176,0.0009302003,0.002344757,0.001542188,-0.0008448098,0.003312194,0.001127701,-0.000176083,0.001889295,0.001609383,0.001540384,0.0004387066,0.0008526727,0.001147992,0.003337815,0.02850951,0.0001808014,0.003821163,0.01564946,-0.0005633837,0.0003672235,0.0006846905,0.0126332,0.001599051,0.0002336552,0.002196678,0.00166677,0.003274026,0.002017723,0.004271832,0.0006058312,-0.001757817,0.0004577384,0.001861435,0.003250932
8,0.04668463,0.0457842,0.05343337,-9.343205E-05,0.6633328,0.6853867,0.4772631,0.009671044,0.014905,-0.0002928719,0.007031678,-0.0006630215,0.0004682059,0.009865598,0.0008790848,0.00433289,0.1079035,0.1117628,0.1008241,0.000175217,0.0006123534,0.02257472,0.001998083,0.003399361,-0.001586638,-0.001500445,0.0003898846,0.01864515,0.01587175,0.008817927,0.0149428,0.01707217,0.01627053,0.01096799,0.007303284,0.006410326,4.220738E-05,-0.0003733149,-0.0001548478,-0.001295054,0.005582868,0.002991868,0.003848289,0.004333597,0.0006106925,0.0007998618,0.006822835,0.005932468,0.01108175,0.0007256118,0.0007125447,0.009741323,0.006444446,0.0007479861,0.001488731,0.003761932,0.01198364,0.001920266,0.0008742352,0.01395792,0.001478026,0.001659979,0.001050098,0.002996793,-0.0002278128,9.061607E-05,0.002111264,0.0002889575,0.0005172031,0.003102193,0.002266138,0.0008133709,0.0007417566,-0.001246258,0.001289516,0.001804514,0.02848233,0.001196436,0.00538156,0.0140952,9.375972E-06,0.0008236805,0.001074704,0.01390617,0.0022113,0.001352871,0.0006574874,-0.00031878,0.004715916,0.001453771,0.001805172,2.08887E-05,-0.000711813,-0.0006674422,0.002435124,0.002162903
9,0.1073437,0.1072168,0.1210288,0.0003128072,0.958994,1.006456,0.7013106,0.01084593,0.01851625,0.0007629089,0.008004493,0.0005476135,0.002687487,0.01618297,0.006077989,0.005313205,0.1931581,0.1975188,0.1762859,0.00167221,0.001822707,0.02464125,0.001779836,0.002434179,-0.0002873864,-0.0006040095,-0.0007078566,0.01998554,0.02574937,0.01672065,0.0210888,0.01773058,0.01854532,0.01380752,0.007968122,0.006429414,-0.0003886768,-0.000242003,5.754613E-05,0.0001289919,0.007852022,0.004856682,0.004405772,0.005654023,0.0006611912,0.001059403,0.004914642,0.007679362,0.01134636,0.0007913138,0.001619953,0.01117096,0.005454055,-0.0004102597,0.001881471,0.002906162,0.01376849,0.003358582,0.0001995092,0.01590007,0.0009954507,0.001534021,0.0002146961,0.004126291,0.002079046,-0.00152038,0.004591043,0.00109651,0.002869791,0.001903701,0.002619116,0.002761854,0.0009611889,-0.0005524015,0.001658004,0.002527761,0.02592439,0.0004588383,0.006044901,0.01600461,0.0009949738,-0.00104544,0.001003535,0.01547539,-5.107962E-05,0.001158566,-3.377556E-05,0.0002391791,0.003864669,0.0002679321,0.003762252,0.0004757523,0.0004048281,0.0002766876,0.0008985432,0.003087433
10,0.2284849,0.2333972,0.2557604,-0.001397706,1.275439,1.34472,0.941797,0.01234445,0.01726154,0.001175528,0.01000226,-0.0004897711,0.01138247,0.03005653,0.01661049,0.006035423,0.3384696,0.3413188,0.3049002,0.001298383,0.0003095584,0.02595795,0.0015201,0.0025567,-0.002291224,-0.001390863,-0.0004389918,0.02202017,0.04696296,0.03442785,0.03596505,0.01836528,0.01994078,0.01412422,0.006256648,0.007529349,-0.0001014265,-0.0002373282,-0.001143261,-0.001083095,0.01100323,0.005077907,0.005961766,0.006554078,0.001511123,0.001114,0.007469092,0.008593834,0.01045699,0.001841595,0.0006849621,0.0121316,0.006858132,0.0001951607,0.003376286,0.003426178,0.01513349,0.002528823,0.0005897533,0.01473083,0.001253751,0.0007068837,0.000325744,0.003746579,0.002512068,0.0001466753,0.004700926,0.001475316,0.002248659,0.001019375,0.0006115058,0.001466061,-0.001120713,0.0005339237,0.0005597095,0.00315187,0.02919226,-0.0007204924,0.007264849,0.01679195,-0.0001762457,0.0002806351,-0.0004611044,0.0171246,0.0006653746,0.0005576322,0.001347814,0.0002197275,0.002982839,0.0009763929,0.003889792,0.001075604,3.063583E-05,0.0005433439,0.00190795,0.002332095
